Key,Title, Regios
NL01  ,Nederland, 0
LD01  ,Noord-Nederland (LD), 1
LD02  ,Oost-Nederland (LD), 2
LD03  ,West-Nederland (LD), 3
LD04  ,Zuid-Nederland (LD), 4
PV20  ,Groningen (PV), Groningen
PV21  ,Friesland (PV), Friesland
PV22  ,Drenthe (PV), Drenthe
PV23  ,Overijssel (PV), Overijssel
PV24  ,Flevoland (PV), Flevoland
PV25  ,Gelderland (PV), Gelderland
PV26  ,Utrecht (PV), Utrecht
PV27  ,Noord-Holland (PV), Noord-Holland
PV28  ,Zuid-Holland (PV), Zuid-Holland
PV29  ,Zeeland (PV),Zeeland
PV30  ,Noord-Brabant (PV), Noord-Brabant
PV31  ,Limburg (PV), Limburg